year,op_cost,vehicles,op_cost_usd,div_year,unit_cost,op_cost_real,op_cost_op
2011,175000,6460,175000,1,27.089783281733745,168269.23076923075,-6559636.765280413
2012,175000,8542,175000,2,20.4870053851557,161797.33727810648,-6543345.813957708
2013,175000,9944,175000,3,17.598551890587288,155574.3627674101,-6536253.065174662
2014,175000,9944,175000,4,17.598551890587288,149590.733430202,-6536253.065174662
2015,16000,11662,16000,5,1.3719773623735207,13150.833708149627,-593991.8497243597
2016,16000,24176,16000,6,0.6618133686300464,12645.032411682332,-593835.2503293036
2017,403343,36439,403343,7,11.06899201405088,306507.53053035977,-15028087.091091415
2018,177182,40994,177182,8,4.32214470410304,129465.15190266151,-6585008.640071305
2019,177182,41080,177182,9,4.313096397273612,124485.72298332836,-6584986.472438252
2020,177182,41080,177182,10,4.313096397273612,119697.81056089266,-6584986.472438252
2021,177182,41080,177182,11,4.313096397273612,115094.04861624293,-6584986.472438252
2022,177182,41080,177182,12,4.313096397273612,110667.35443869511,-6584986.472438252
